To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI Category
02-08-2021 00:00,10.73,0.8,7.68,59.17,35.24,9.76,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",74.0,Moderate
03-08-2021 00:00,7.8,0.12,7.86,37.23,59.63,18.54,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",60.0,Moderate
04-08-2021 00:00,11.32,0.33,15.62,15.85,64.41,21.17,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",64.0,Moderate
05-08-2021 00:00,7.03,0.29,19.49,13.93,45.94,12.65,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",46.0,Good
06-08-2021 00:00,7.12,0.29,23.43,15.69,56.57,16.21,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",57.0,Moderate
07-08-2021 00:00,10.4,0.31,26.87,19.4,77.0,26.86,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",77.0,Moderate
08-08-2021 00:00,8.3,0.32,31.72,20.64,103.04,34.56,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",102.0,Moderate
09-08-2021 00:00,19.02,0.32,23.8,14.7,74.03,26.67,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",74.0,Moderate
10-08-2021 00:00,11.53,0.3,26.25,14.78,67.17,20.14,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",67.0,Moderate
11-08-2021 00:00,15.27,0.38,31.29,27.2,105.82,40.07,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",104.0,Moderate
12-08-2021 00:00,17.18,0.27,24.55,17.38,73.97,24.94,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",74.0,Moderate
13-08-2021 00:00,18.56,0.41,20.39,21.21,77.66,26.33,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",78.0,Moderate
14-08-2021 00:00,17.76,0.25,18.58,17.66,67.02,27.29,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",67.0,Moderate
15-08-2021 00:00,12.62,0.41,31.74,21.39,71.16,25.88,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",71.0,Moderate
16-08-2021 00:00,10.79,0.23,36.04,14.66,39.19,11.63,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",45.0,Good
17-08-2021 00:00,10.14,0.31,16.99,15.91,46.56,22.07,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",47.0,Good
18-08-2021 00:00,11.8,0.27,28.61,19.16,58.12,25.59,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",58.0,Moderate
19-08-2021 00:00,10.91,0.29,33.68,18.0,35.43,16.89,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",42.0,Good
20-08-2021 00:00,6.51,0.26,42.86,14.99,42.6,15.71,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",53.0,Moderate
21-08-2021 00:00,4.67,0.4,48.17,21.76,65.97,22.49,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",66.0,Moderate
22-08-2021 00:00,4.79,0.2,20.72,15.58,50.99,15.38,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",26.0,Good
23-08-2021 00:00,4.86,0.22,19.2,16.39,49.28,14.89,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",49.0,Good
24-08-2021 00:00,4.92,0.45,10.32,21.48,42.93,19.8,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",43.0,Good
25-08-2021 00:00,4.11,0.4,14.97,29.21,72.46,38.02,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",72.0,Moderate
26-08-2021 00:00,4.22,0.31,29.97,22.31,81.73,34.81,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",82.0,Moderate
27-08-2021 00:00,4.04,0.31,14.84,20.42,46.86,22.67,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",47.0,Good
28-08-2021 00:00,3.81,0.42,28.04,21.77,64.15,26.36,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",64.0,Moderate
